Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
27-06-2017,945,948,923.75,927.05,3207420227,113272,3452330
23-06-2017,945,949.15,938,943.25,3021488880,118944,3201509
22-06-2017,947.7,968.7,935.1,940.15,4513895878,115123,4732621
21-06-2017,945,949,936.05,943.35,1757791621,59945,1867932
20-06-2017,935,946.9,934.05,943.55,2444471885,105790,2592198
19-06-2017,939.95,940.25,928,929.85,3194759665,82075,3427930
16-06-2017,949.1,953.85,936,940.25,5159269025,109487,5474225
15-06-2017,959.65,967.95,949.6,952.1,2642752622,67490,2764031
14-06-2017,960,961.9,951.2,958.6,3559194777,90312,3719055
13-06-2017,953.5,962.95,951.6,957.8,2365833764,69355,2468897
12-06-2017,943.35,965.2,940.1,963.85,4097996731,89686,4295838
09-06-2017,938.55,950.95,923,948.6,6918028230,161124,7378831
08-06-2017,962.95,962.95,948.15,956.45,2951501577,88147,3097676
07-06-2017,985,988.9,945,961.3,6001805446,139990,6227523
06-06-2017,965,987.5,964.4,979.35,3434525874,83178,3504343
05-06-2017,970,972,957.05,958.75,2626761463,83794,2731349
02-06-2017,973.4,975.45,964.2,969.45,1897792689,48927,1958983
01-06-2017,969.3,979.7,958.55,971.4,2670262585,81421,2754303
31-05-2017,993.55,993.55,974.85,977.05,3805051203,121323,3881950
30-05-2017,982,1000,978.65,996.2,1850003638,62012,1858455
29-05-2017,990.9,996.7,975.7,985.15,3100929032,83084,3154217
26-05-2017,987,1000,980.6,995.7,2479193882,63671,2494002
25-05-2017,961,986.6,961,983.3,5105249719,76160,5219257
24-05-2017,960,965.5,949.6,954.8,2700826858,56898,2818143
23-05-2017,964.65,967,954.1,957.3,1939514665,80122,2019991
22-05-2017,958.4,966.9,956.55,961.45,2647754820,99616,2751526
19-05-2017,961.5,962.7,947.85,957.95,2031155370,88897,2128698
18-05-2017,943,973.9,942.85,961.75,3878281748,120990,4028924
17-05-2017,951.6,958.45,943.85,952.8,1384109512,75429,1457754
16-05-2017,953.1,960.15,946.95,955,2920775219,71808,3065084
15-05-2017,963.5,963.5,949.1,951.55,3471579745,75335,3648582
12-05-2017,953,966,951.45,964.25,5269035238,111297,5489998
11-05-2017,946.85,949.85,937.55,944.1,1526662167,67623,1614741
10-05-2017,947.15,950,937.15,943.65,1586652710,54391,1682151
09-05-2017,950.6,951.95,942.1,946.65,2675013934,97850,2824686
08-05-2017,938,948.55,932,945.5,2213917286,99288,2353549
05-05-2017,936,937.35,920,931.5,2054687486,108343,2216394
04-05-2017,937,939.65,928.9,937.65,2470785901,104986,2639903
03-05-2017,926.5,939.1,917.65,934.3,2171737625,74214,2329724
02-05-2017,924,926.4,915.1,922.6,1488984260,85885,1615563
28-04-2017,926.85,927.4,915.6,918.95,2313115919,79880,2514851
27-04-2017,916,929,916,925.25,3601521629,113696,3898604
26-04-2017,929.95,935.55,910.2,914.25,4165168442,125006,4542248
25-04-2017,925.9,933,920.55,929.35,2200992057,104070,2368530
24-04-2017,917.5,928.5,913,926.55,2555623447,78246,2778333
21-04-2017,934.8,934.8,921.1,923.7,1655346159,62461,1788733
20-04-2017,921.5,929.7,918.55,927.3,2102780031,104880,2274500
19-04-2017,923,930,912.65,919.2,4618541692,123370,5035851
18-04-2017,924.75,934,919.1,922.65,2150985535,77903,2323759
17-04-2017,930,932.1,923.5,924.9,3340781677,110168,3606717
13-04-2017,970,990,926.65,931.4,14603160521,368460,15486594
12-04-2017,970,976.9,960.35,968.85,3245103251,86217,3348376
11-04-2017,956.05,971.7,956.05,967.15,4181469033,104526,4327733
10-04-2017,984.9,989.5,950.1,953.4,4597514332,94190,4764236
07-04-2017,1000.9,1000.9,979,981.55,3156004780,97036,3202254
06-04-2017,998.15,1005.8,992,999.6,2690729251,80666,2689504
05-04-2017,1005,1005.4,991,995.95,3691274935,155256,3699169
03-04-2017,1032.15,1032.45,1006.1,1008.8,2181287096,66898,2157800
31-03-2017,1023.25,1029.3,1008,1022.25,7214831803,96201,7076927
30-03-2017,1034,1035.9,1020.25,1025.5,6237092368,94441,6078590
29-03-2017,1034.3,1041.5,1025.85,1031.85,3603938737,60565,3490593
28-03-2017,1031.5,1039,1030.05,1035.15,2482850262,69503,2398398
27-03-2017,1027.2,1041.85,1024.5,1028.85,3968617436,118204,3842412
24-03-2017,1038,1044,1027.7,1031.4,2523166659,75313,2441948
23-03-2017,1028.25,1043,1026.6,1040.45,2337555355,70900,2250831
22-03-2017,1022.45,1039.95,1020.4,1027.7,2052872403,69882,1995426
21-03-2017,1020.9,1034.95,1018.8,1032.85,2505412044,61479,2434792
20-03-2017,1026.55,1026.55,1015.1,1021.5,2258652533,85988,2213694
17-03-2017,1035.4,1042.9,1019.25,1040.3,4915686887,132876,4753923
16-03-2017,1013.3,1031.7,1013.3,1028.85,3434894916,91634,3351478
15-03-2017,1034.9,1034.9,1007.5,1011.95,3230988617,135842,3186989
14-03-2017,1022.8,1041.9,1022.8,1034.8,4073612175,93944,3939198
10-03-2017,1015,1027.65,1013.4,1021.85,2324657633,66765,2275162
09-03-2017,1007.8,1013,999,1011.55,1754027663,80001,1740315
08-03-2017,1016.9,1016.9,1004.45,1007.8,3117465750,65695,3089588
07-03-2017,1022,1025.8,1014.7,1019.8,2369267970,74091,2322248
06-03-2017,1020.05,1035.95,1019.7,1033.9,2723532993,71674,2643193
03-03-2017,1010.25,1034.3,1000.4,1031.2,2757727851,74416,2700806
02-03-2017,1024.4,1028,1016.5,1023.3,1509698903,42399,1474249
01-03-2017,1012,1027,1010.1,1025.15,2193095873,114684,2141224
28-02-2017,1011.85,1022.7,1009.25,1012.4,3014022678,93851,2970066
27-02-2017,1007.3,1023,1006.95,1012.4,2710714927,83469,2664348
23-02-2017,998.9,1020,993.35,1008.85,4816916303,103839,4771328
22-02-2017,1015,1015,986.4,990.15,3285353834,121253,3303919
21-02-2017,1022.1,1024.5,1000.05,1013.6,3862010544,86430,3806998
20-02-2017,996.5,1031,993.5,1010.25,2331129298,57830,2325331
17-02-2017,1013.75,1013.75,992.7,1000.1,2425826884,67547,2425604
16-02-2017,991,1013.9,990.05,1012.1,6437217885,114268,6407929
15-02-2017,989.2,998.8,968.8,981.8,3573754984,69110,3629743
14-02-2017,980,989,972.35,987.7,4589393176,93050,4669409
13-02-2017,972.85,986.1,962.85,984.35,6714084291,115322,6862134
10-02-2017,946.25,972,943.3,968.3,5878867733,147110,6126226
09-02-2017,937,950,936.55,946,5623726244,212836,5953633
08-02-2017,936,944.1,932.45,936.5,2959255451,104030,3159981
